"date_published","title","guid","provider"
"2019-05-14 10:45:50.370115+00","supervisi kepala sekolah","8fte6","INA-Rxiv"
"2019-05-14 11:46:47.121582+00","relative wave function universe.","gk5rh","Open Science Framework"
"2019-05-15 20:35:53.493419+00","Inferring the size of an unobservable population from observable samples","nuv2z","PsyArXiv"
"2019-05-15 19:55:45.444663+00","Explanatory Virtues and Belief in Conspiracy Theories","5cu2g","PsyArXiv"
"2019-05-14 12:56:58.711617+00","The Right to Work, Power Resources, and Economic Inequality","7qb56","SocArXiv"
"2019-05-14 12:01:17.778185+00","International Journal of Student Research, No. 2(3), 2019/ OEAPS Inc. (Open European Academy of Public Sciences); Chief Editor Elisa Boanini - Lion, France. 26.04.2019: OEAPS Inc., 2019. - 67 P. ISBN: 9781093550863","4z2bu","Open Science Framework"
"2019-05-14 12:59:00.385881+00","Differential Attainment to Affordable Housing among Whites, Blacks, and Hispanics","qnvjr","SocArXiv"
"2019-05-14 13:16:27.198813+00","jurnal supervisi","tjkep","INA-Rxiv"
"2019-05-14 13:19:12.695971+00","supervisi pendidikan","ghk4q","INA-Rxiv"
"2019-05-14 13:23:45.010973+00","High stakes: Offender decisions about weapon carrying and weapon use","vaxsy","SocArXiv"
"2019-05-14 13:24:03.900901+00","Socioeconomic variation in child educational and socioeconomic attainment after parental death in Sweden","udv9y","SocArXiv"
"2019-05-14 13:31:20.663644+00","Tugas Akhir Delvi Susanti Sikumbang Supervisi Pendidikan","kc3rm","INA-Rxiv"
"2019-05-14 13:34:02.474057+00","ARTIKEL MASAKAN NEGARA MALAYSIA","8kcpd","INA-Rxiv"
"2019-05-14 13:46:18.490015+00","Fighting and Information: From Prison to the Lab","x5eb4","SocArXiv"
"2019-05-14 13:50:00.855297+00","supervisi pendidikan","pbkvs","INA-Rxiv"
"2019-05-14 13:53:55.486571+00","Supervisi Pendidikan","9zjrc","INA-Rxiv"
"2019-05-14 13:58:03.31034+00","SUPERVISI PENDIDIKAN","cpbjr","INA-Rxiv"
"2019-05-15 17:13:06.081963+00","Growth trajectories of parental emotion socialization and child adjustment following a military parenting intervention: A randomized controlled trial","x6qh4","PsyArXiv"
"2019-05-13 21:50:06.821155+00","Robust Standards in Cognitive Science","4rs6q","PsyArXiv"
"2019-05-15 13:38:31.725668+00","Onomatopoeia, gestures, actions and words: how do caregivers use multimodal cues in their communication to children?","v263k","PsyArXiv"
"2019-05-14 14:35:07.479784+00","Tugas 1 - Pengaruh Aplikasi Ninja Easy terhadap Social Commerce di Indonesia (Perusahaan Logistik Ninja Express)","5kudn","Open Science Framework"
"2019-05-14 14:41:51.845653+00","supervisi pendidikan","6fspr","INA-Rxiv"
"2019-05-14 14:44:05.005573+00","A comparison of southern hemisphere breeding stock 'D' humpback whale population estimates from two key locations along the Western Australian coast","5skqb","MarXiv"
"2019-05-24 06:54:52.786754+00","ARTIKEL KEPEMIMPINAN PENDIDIKAN","pbgnm","INA-Rxiv"
"2019-05-21 17:02:28.235901+00","Big Boy. Smarts So Big, Senses So Little: The “theoretical” science of the respectable physicist Prof. Dr. J. Robert Oppenheimer of the Institute for Advanced Study in Princeton, and 60,000 Hiroshima funerals","kgj6w","Open Science Framework"
"2019-05-14 14:44:27.000457+00","Investigating Emerging Roles for Medical Librarians at College and University Libraries","92mzt","LIS Scholarship Archive"
"2019-05-14 14:55:56.167691+00","supervisi pendidikan","kt5r9","INA-Rxiv"
"2019-05-14 14:34:07.396862+00","Mapping status and conservation of global at-risk marine biodiversity","f7b42","MarXiv"
